# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.21705188511514237,0,3.0,0.6325583994099233,0.0,0.0,0.0
 0.08940316834498512,1.0119893037354797,3.0000454189374457,0.21705188511514237,0.26820950503495533,3.0,0.6325583994099233,0.0,11.741176113016433,0.0
 0.12638019812742476,1.0239570726559775,3.000181446670237,0.65120570392702,0.37914059438227427,2.9999999999999996,0.6334472698343686,0.0,15.316246465006014,0.0
 0.15471715166808556,1.0359030933325821,3.000407739579057,1.0852214684232055,0.4641514550042567,3.0000000000000018,0.6342752170209891,0.0,18.1836915000359,0.0
 0.17857649462270594,1.047827152336382,3.000723954044589,1.5190724001035776,0.5357294838681178,2.999999999999998,0.6350424287080352,0.0,20.655416379665027,0.0
 0.19957145127624526,1.059729036238466,3.001129746447514,1.9527319716554508,0.5987143538287357,2.9999999999999987,0.6357491303990593,0.0,22.86277807994963,0.0
 0.21852986248438744,1.0716085316099224,3.001624773168517,2.386173919855635,0.6555895874531623,3.000000000000003,0.636395584775193,0.0,24.876532222256817,0.0
 0.23594379841518723,1.0834654250218398,3.002208690588279,2.819372258154492,0.7078313952455617,3.0000000000000018,0.6369820912250783,0.0,26.740074459680695,0.0
 0.2521340686219583,1.0952995030453072,3.0028811550874828,3.2523012890059007,0.756402205865875,3.0000000000000053,0.6375089853270193,0.0,28.482306035478633,0.0
 0.26732365075449016,1.1071105522514124,3.003641823046812,3.684935615855711,0.8019709522634705,2.999999999999993,0.6379766380861719,0.0,30.12361524342775,0.0
 0.28167500053182215,1.1188983592112445,3.0044903508469485,4.117250154771912,0.8450250015954666,3.0000000000000075,0.6383854554237036,0.0,31.67901235147965,0.0
 0.2953108420233362,1.1306627104958917,3.0054263948685755,4.549220145804404,0.8859325260700087,3.000000000000004,0.6387358773830204,0.0,33.1599194977513,0.0
 0.30832658586865097,1.142403392676443,3.006449611492375,4.980821163918394,0.9249797576059531,3.0,0.6390283773929156,0.0,34.57526094124764,0.0
 0.320798161035076,1.1541201923239868,3.007559657099031,5.412029129645924,0.9623944831052283,3.000000000000009,0.6392634614842854,0.0,35.93216173854464,0.0
 0.33278717502121113,1.1658128960096112,3.0087561880692246,5.8428203192814046,0.9983615250636337,3.0000000000000044,0.6394416675811787,0.0,37.23641426557147,0.0
 0.3443444386302169,1.1774812903044054,3.0100388607836392,6.273171374802758,1.0330333158906508,2.999999999999981,0.6395635644668617,0.0,38.49280045035046,0.0
 0.3555124475435369,1.1891251617794576,3.011407331622958,6.70305931333092,1.0665373426306108,3.000000000000005,0.6396297510116994,0.0,39.70532079729097,0.0
 0.3663271749974539,1.2007442970058566,3.012861256967863,7.132461536223963,1.0989815249923616,2.9999999999999796,0.6396408553056776,0.0,40.877361171414655,0.0
 0.37681939585754415,1.2123384825546908,3.0144002931990372,7.5613558378121235,1.1304581875726325,3.0000000000000107,0.6395975336406395,0.0,42.01181682642189,0.0
 0.3870156836693614,1.223907504997049,3.016024096697163,7.989720413671669,1.1610470510080844,3.000000000000011,0.6395004695445925,0.0,43.111186359553564,0.0
 0.39693917432248804,1.2354511509040194,3.0177323238429232,8.4175338685559,1.1908175229674642,2.9999999999999942,0.6393503728984805,0.0,44.17764402621341,0.0
 0.40661015983425075,1.2469692068466907,3.019524631017001,8.84477522387722,1.2198304795027524,3.0,0.6391479788233396,0.0,45.21309621122263,0.0
 0.4160465562917355,1.2584614593961514,3.0214006746000783,9.271423924796718,1.2481396688752067,3.0000000000000115,0.6388940467333702,0.0,46.21922609018253,0.0
 0.4252642771009749,1.2699276951234904,3.0233601109728383,9.697459846915134,1.275792831302925,3.0,0.638589359256498,0.0,47.19752935339125,0.0
 0.43427753396929103,1.2813677005997959,3.025402596515964,10.12286330252714,1.3028326019078733,3.0,0.638234721187205,0.0,48.14934308310633,0.0
 0.44309908202683795,1.2927812623961565,3.027527787610137,10.547615046474075,1.3292972460805141,3.000000000000006,0.6378309585157631,0.0,49.0758693131897,0.0
 0.45174042126459585,1.304168167083661,3.0297353406360408,10.971696281597222,1.3552212637937877,2.999999999999987,0.6373789172439205,0.0,49.97819441053207,0.0
 0.4602119634473457,1.3155282012333975,3.032024911974358,11.395088663763719,1.3806358903420373,2.9999999999999933,0.6368794623337667,0.0,50.857305145883146,0.0
 0.4685231714734062,1.3268611514164552,3.0343961580057717,11.81777430647599,1.4055695144202187,2.9999999999999933,0.6363334766960417,0.0,51.71410211679266,0.0
 0.47668267654742497,1.3381668042039223,3.0368487351109636,12.239735785096283,1.430048029642275,3.0000000000000138,0.6357418600648528,0.0,52.54941102549048,0.0
 0.4846983773391431,1.3494449461668874,3.039382299670617,12.660956140657628,1.4540951320174296,3.000000000000007,0.6351055279133262,0.0,53.36399221269111,0.0
 0.49257752440383656,1.3606953638764387,3.0419965080654148,13.081418883260579,1.4777325732115099,2.999999999999993,0.6344254103556166,0.0,54.15854876416616,0.0
 0.500326792458446,1.3719178439036654,3.0446910166760395,13.50110799508274,1.5009803773753385,3.000000000000036,0.6337024511360364,0.0,54.93373343552645,0.0
 0.5079523425843643,1.3831121728196558,3.0474654818831732,13.920007932999178,1.5238570277530934,3.0000000000000147,0.6329376064938713,0.0,55.6901545949416,0.0
